nombre,muni_id,cod_dane,id_sede,jornada
SEDE 10 LAS COLINAS,,247001001472,540235,T
SEDE 10 LAS COLINAS,,247001001472,540237,C
SEDE 08 CALABAZO,,247001001472,540238,T
SEDE 08 CALABAZO,,247001001472,540240,C
CONCENTRACION ESCOLAR BOLIV,,247001001405,540241,T
CONCENTRACION ESCOLAR BOLIV,,247001001405,540243,C
PREESCOLAR DIVINO NINO,,247001001405,540244,T
PREESCOLAR DIVINO NINO,,247001001405,540246,C
SEDE 06 CACAHUALITO,,247001001472,540247,T
SEDE 06 CACAHUALITO,,247001001472,540249,C
SEDE 05 LAS TINAJAS,,247001001472,540250,T
SEDE 05 LAS TINAJAS,,247001001472,540252,C
I.E.D. EL MAMEY - SEDE PRIN,,247001002924,540268,C
ALTO PARAISO,,247001001472,540282,T
ALTO PARAISO,,247001001472,540284,C
COLEGIO REPUBLICA DOMINICAN,,111769003360,540300,C
CENT EDUC DIST EL CURUBO,,111850001461,540349,T
CENT EDUC DIST EL CURUBO,,111850001461,540351,C
CENT EDUC DIST LOS TEJARES,,111850001461,540353,C
CONCENTRACIÓN RURAL LA ISLA,,125317000232,540487,T
CONCENTRACIÓN RURAL LA ISLA,,125317000232,540489,C
CONCENTRACIÓN RURAL  EL RAB,,125317000232,540490,T
CONCENTRACIÓN RURAL  EL RAB,,125317000232,540492,C
CONCENTRACION RURAL GACHA,,125317000232,540493,T
CONCENTRACION RURAL GACHA,,125317000232,540495,C
ESCUELA RURAL PUNTA GRANDE,,125317000232,540496,T
ESCUELA RURAL PUNTA GRANDE,,125317000232,540498,C
CONCENTRACION RURAL LA PUNT,,125317000232,540499,T
CONCENTRACION RURAL LA PUNT,,125317000232,540501,C
INSTITUCION EDUCATIVA DEPAR,,125317000232,540502,T
INSTITUCION EDUCATIVA DEPAR,,125317000232,540504,C
CONCENTRACION URBANA GONZAL,,125317000232,540507,T
CONCENTRACION URBANA GONZAL,,125317000232,540509,C
SEDE 4 TEYUNA,,247001002924,540590,T
SEDE 4 TEYUNA,,247001002924,540592,C
SEDE 2 LA AGUACATERA,,247001002924,540607,T
SEDE 2 LA AGUACATERA,,247001002924,540609,C
CENT EDUC DIST VILLAS DEL P,,211001076958,540716,C
SEDE LOPEZ OSORIO,,211001076958,540717,M
SEDE LOPEZ OSORIO,,211001076958,540719,C
3_SEDE SALON COMUNAL RECREO,,211001076958,540721,C
INST TORCA,,111001086681,540750,T
INST TORCA,,111001086681,540752,C
INSTITUCION EDUCATIVA DIVIN,,152227000028,540758,T
INSTITUCION EDUCATIVA DIVIN,,152227000028,540760,C
INSTITUTO SAN JUAN BOSCO,,152227000028,540761,T
INSTITUTO SAN JUAN BOSCO,,152227000028,540763,C
TRAVESIAS,,263212000052,541028,T
TRAVESIAS,,263212000052,541030,C
JARDIN ALTO,,263212000052,541031,T
JARDIN ALTO,,263212000052,541033,C
RIO VERDE ALTO,,263212000052,541034,T
RIO VERDE ALTO,,263212000052,541036,C
GUAYAQUIL BAJO,,263212000052,541037,T
GUAYAQUIL BAJO,,263212000052,541039,C
GUAYAQUIL ALTO,,263212000052,541040,T
GUAYAQUIL ALTO,,263212000052,541042,C
JARDIN BAJO,,263212000052,541043,T
JARDIN BAJO,,263212000052,541045,C
ESCUELA MANUELA BELTRAN EL,,225649000435,541208,T
ESCUELA MANUELA BELTRAN EL,,225649000435,541209,C
CENT EDUC DIST PASQUILLA,,211850001121,541255,C
ESCUELA  RURAL ALTERON NORT,,225148001555,541261,T
ESCUELA  RURAL ALTERON NORT,,225148001555,541263,C
CENT EDUC DIST PASQUILLITA,,211850001121,541267,T
CENT EDUC DIST PASQUILLITA,,211850001121,541269,C
CENT EDUC DIST SANTA BARBAR,,211850001121,541272,T
CENT EDUC DIST SANTA BARBAR,,211850001121,541274,C
IE TECNICA DE COMERCIO VIRG,,147189000210,541993,C
ESCUELA MIXTA NO 2,,147189000210,541995,C
ESCUELA MIXTA NO 3,,147189000210,541997,C
ESCUELA MIXTA NO 4,,147189000210,541999,C
COL DIST EDUC BAS Y MEDIA J,,111001026964,542087,C
CENT EDUC DIST JORGE ELIECE,,111001028258,542121,T
CENT EDUC DIST JORGE ELIECE,,111001028258,542123,C
CENT EDUC DIST GLORIA GAITA,,111001028258,542124,T
CENT EDUC DIST GLORIA GAITA,,111001028258,542126,C
COL DIST RAFAEL BERNAL JIME,,111001028258,542127,T
COL DIST RAFAEL BERNAL JIME,,111001028258,542129,C
SEDE # 5 MAJAGUAL,,252835000655,542265,T
SEDE # 5 MAJAGUAL,,252835000655,542267,C
SEDE # 3 SAN JUAN PLAYA,,252835000655,542268,T
SEDE # 3 SAN JUAN PLAYA,,252835000655,542270,C
ESCUELA  RURAL VOLCANES,,225148001555,542479,T
ESCUELA  RURAL VOLCANES,,225148001555,542481,C
CENT EDUC RUR LA PITA,,225148001555,542482,T
CENT EDUC RUR LA PITA,,225148001555,542484,C
ESCUELA  RURAL TIERRA NEGRA,,225148001555,542485,T
ESCUELA  RURAL TIERRA NEGRA,,225148001555,542487,C
ESCUELA  RURAL EL OSO,,225148001555,542488,T
ESCUELA  RURAL EL OSO,,225148001555,542490,C
CENT EDUC RUR LA CALACA,,225148001555,542491,T
CENT EDUC RUR LA CALACA,,225148001555,542493,C
ESCUELA RURAL TRAPICHE DE G,,225148001555,542494,T
ESCUELA RURAL TRAPICHE DE G,,225148001555,542496,C
I.E.D. SAN CARLOS - SEDE PR,,225148001555,542497,T
I.E.D. SAN CARLOS - SEDE PR,,225148001555,542499,C
ESCUELA  RURAL LA LAJA,,225148001555,542500,T
ESCUELA  RURAL LA LAJA,,225148001555,542502,C
ESCUELA  RURAL TATICITO,,225148001555,542503,T
ESCUELA  RURAL TATICITO,,225148001555,542505,C
ESCUELA RURAL CAPOTE,,225148001555,542506,T
ESCUELA RURAL CAPOTE,,225148001555,542508,C
CONCENTRACION  RURAL TATI,,225148001555,542509,T
CONCENTRACION  RURAL TATI,,225148001555,542511,C
